date,name,amount,category,status
4/6/2024,Rent Payment,-420.63,Bills & Utilities,Posted
10/19/2023,Nike Training,-2976.39,Fitness & Sports,Pending
8/23/2024,Hulu,710.37,Subscriptions,Posted
3/19/2024,Car Insurance,1829.43,Insurance & Financial,Posted
6/27/2023,Nike Training,-46.13,Fitness & Sports,Posted
4/14/2024,Car Insurance,1952.92,Insurance & Financial,Pending
11/6/2023,Disney+,839.88,Subscriptions,Pending
4/15/2024,LA Fitness,2571.01,Fitness & Sports,Pending
3/28/2024,Mortgage Payment,2759.75,Insurance & Financial,Pending
5/24/2023,Uber,-2203.9,Travel,Pending
7/7/2023,Best Buy,641.91,Shopping,Pending
5/3/2023,McDonald's,1053.67,Food & Drinks,Posted
6/23/2024,Expedia,1427,Travel,Pending
11/6/2023,Comcast,902.32,Bills & Utilities,Posted
9/25/2023,Lyft,1819.29,Travel,Posted
3/21/2024,Mortgage Payment,-1167.54,Insurance & Financial,Posted
7/26/2023,Miscellaneous Expense,769.63,Others,Posted
2/8/2024,PayPal,2718.87,Others,Posted
1/6/2023,Verizon,500.16,Bills & Utilities,Pending
3/28/2024,Gym Membership,1518.57,Fitness & Sports,Posted
11/19/2023,Walmart,1058.85,Shopping,Posted
7/5/2024,Costco,2760.81,Shopping,Posted
12/13/2023,Nike Training,1012,Fitness & Sports,Pending
3/25/2024,Loan Repayment,-1244.07,Insurance & Financial,Posted
1/8/2023,Delta Airlines,-599.6,Travel,Posted
8/4/2024,Burger King,2875.44,Food & Drinks,Posted
11/2/2023,Costco,2824.4,Shopping,Pending
5/29/2023,Nike Training,2591.59,Fitness & Sports,Pending
6/12/2024,Apple Music,2088.59,Subscriptions,Posted
12/7/2023,Gym Membership,1413.32,Fitness & Sports,Pending
6/6/2024,Bank Fee,1511.52,Banking & Fees,Posted
11/14/2023,Starbucks,355.09,Food & Drinks,Posted
11/26/2023,Miscellaneous Expense,537.31,Others,Pending
3/22/2024,Mortgage Payment,2513.35,Insurance & Financial,Pending
5/1/2024,Verizon,586.04,Bills & Utilities,Pending
8/15/2024,Apple Music,1467.14,Subscriptions,Pending
11/8/2023,Nike Training,1730.63,Fitness & Sports,Posted
1/11/2023,Expedia,1983.84,Travel,Posted
7/22/2023,KFC,2489.07,Food & Drinks,Pending
1/21/2023,Burger King,551.72,Food & Drinks,Posted
8/29/2023,Delta Airlines,871.98,Travel,Posted
6/26/2023,Amazon,1755.9,Shopping,Pending
3/14/2023,Touchstone Climbing,943.55,Fitness & Sports,Posted
1/1/2023,Touchstone Climbing,1865.61,Fitness & Sports,Posted
9/22/2023,Nike Training,143.79,Fitness & Sports,Posted
8/14/2023,Wire Transfer,8.91,Banking & Fees,Posted
10/5/2023,Donation,414.4,Others,Posted
11/17/2023,Airbnb,760.16,Travel,Posted
6/13/2023,Venmo,1398.62,Others,Pending
10/27/2023,Staples,2476.05,Business Services,Posted
1/29/2024,Venmo,2190.83,Others,Pending
3/14/2024,Domino's Pizza,2309.96,Food & Drinks,Posted
8/15/2024,Donation,1025.93,Others,Posted
8/8/2024,Water Bill,-733.81,Bills & Utilities,Posted
5/20/2023,Car Insurance,1927.15,Insurance & Financial,Posted
7/10/2024,Nike Training,631.58,Fitness & Sports,Posted
7/25/2023,Overdraft Fee,184.36,Banking & Fees,Posted
8/8/2024,Office Depot,1766.9,Business Services,Posted
2/11/2024,McDonald's,2983.11,Food & Drinks,Pending
8/27/2023,Overdraft Fee,2187.02,Banking & Fees,Pending
7/4/2023,Health Insurance,1144.47,Insurance & Financial,Posted
3/15/2024,YouTube Premium,794.96,Subscriptions,Posted
11/28/2023,Madison Bicycle Shop,2149.24,Business Services,Posted
7/10/2024,Target,1256.18,Shopping,Posted
4/25/2023,Overdraft Fee,835.76,Banking & Fees,Posted
6/15/2023,IKEA,1779.14,Shopping,Pending
7/7/2023,Tectra Inc,2991.06,Business Services,Posted
10/27/2023,Expedia,2213.59,Travel,Pending
3/1/2024,McDonald's,2687.72,Food & Drinks,Pending
1/23/2023,Mortgage Payment,2404.72,Insurance & Financial,Posted
5/26/2024,Miscellaneous Expense,2276.53,Others,Pending
9/21/2023,Home Depot,635.09,Bills & Utilities,Pending
2/28/2023,IKEA,1809.99,Shopping,Posted
1/11/2024,Domino's Pizza,906.59,Food & Drinks,Posted
7/28/2023,Venmo,2642.75,Others,Pending
6/9/2023,Walmart,-1960.25,Shopping,Pending
1/3/2024,Airbnb,-2558.31,Travel,Pending
1/13/2024,PayPal,945.07,Others,Pending
6/28/2023,KFC,1017.6,Food & Drinks,Pending
4/14/2024,Tectra Inc,2208.29,Business Services,Posted
10/18/2023,Office Depot,2095.37,Business Services,Posted
2/20/2024,Delta Airlines,291.54,Travel,Pending
1/25/2024,Wire Transfer,114.62,Banking & Fees,Pending
3/19/2023,Water Bill,548.58,Bills & Utilities,Posted
2/12/2023,Health Insurance,2828.93,Insurance & Financial,Pending
2/4/2023,Water Bill,2763.36,Bills & Utilities,Posted
8/1/2023,CREDIT CARD PAYMENT,23.7,Banking & Fees,Posted
12/21/2023,Amazon,1917.99,Shopping,Posted
4/22/2024,Madison Bicycle Shop,2336.56,Business Services,Posted
2/26/2023,Spotify,2311.8,Subscriptions,Pending
1/14/2023,Expedia,1476.39,Travel,Posted
12/4/2023,Nike Training,288.89,Fitness & Sports,Posted
3/18/2024,Amazon,2467.37,Shopping,Posted
7/5/2024,Health Insurance,1439.05,Insurance & Financial,Posted
3/10/2024,Loan Repayment,1629.32,Insurance & Financial,Pending
1/26/2024,Bank Fee,264.04,Banking & Fees,Posted
1/8/2024,Gift Card,1889.36,Others,Posted
8/14/2024,Uber,2121.2,Travel,Posted
5/20/2023,Car Insurance,1941.39,Insurance & Financial,Posted
11/11/2023,Office Depot,1696.48,Business Services,Pending
8/11/2024,eBay,1174.48,Shopping,Posted
8/10/2023,Lyft,1217.91,Travel,Pending
8/18/2023,Amazon Prime,5.34,Subscriptions,Pending
5/5/2024,Office Depot,326,Business Services,Pending
5/21/2023,Planet Fitness,1338.02,Fitness & Sports,Posted
1/30/2023,Tectra Inc,1552.22,Business Services,Pending
3/19/2023,Tectra Inc,2377.08,Business Services,Pending
4/9/2024,Lyft,2717.73,Travel,Pending
8/12/2024,Hulu,-862.05,Subscriptions,Pending
8/17/2024,Amazon,1541.22,Shopping,Posted
10/3/2023,Mortgage Payment,298.53,Insurance & Financial,Pending
8/3/2023,Apple Music,452.26,Subscriptions,Pending
1/30/2024,Uber,1976.57,Travel,Posted
6/14/2023,Planet Fitness,2156.53,Fitness & Sports,Posted
2/23/2024,Nike Training,2752.75,Fitness & Sports,Pending
8/20/2024,Staples,2604.14,Business Services,Posted
4/27/2024,Donation,1099.44,Others,Posted
4/13/2024,Comcast,551.99,Bills & Utilities,Pending
1/18/2024,Health Insurance,2550.09,Insurance & Financial,Pending
3/8/2023,Overdraft Fee,1804.16,Banking & Fees,Posted
6/6/2024,CREDIT CARD PAYMENT,323.92,Banking & Fees,Pending
12/19/2023,Bank Fee,1323.98,Banking & Fees,Pending
3/7/2023,Bank Fee,1941.47,Banking & Fees,Posted
10/8/2023,Disney+,974.19,Subscriptions,Pending
2/6/2023,Nike Training,2497.3,Fitness & Sports,Posted
8/23/2023,Mortgage Payment,578.14,Insurance & Financial,Posted
3/27/2024,Miscellaneous Expense,427,Others,Posted
5/10/2024,Bank Fee,2369.44,Banking & Fees,Pending
5/7/2024,Gift Card,1061.33,Others,Posted
12/22/2023,Mortgage Payment,-2883.52,Insurance & Financial,Posted
6/9/2024,Rent Payment,538.59,Bills & Utilities,Pending
6/3/2024,Target,737.62,Shopping,Pending
8/13/2024,Best Buy,-2206.93,Shopping,Posted
9/22/2023,Nike Training,1116.68,Fitness & Sports,Pending
12/27/2023,Water Bill,2561.56,Bills & Utilities,Posted
1/23/2023,Overdraft Fee,2195.76,Banking & Fees,Posted
1/18/2023,Spotify,2693.81,Subscriptions,Posted
3/9/2024,Domino's Pizza,157.97,Food & Drinks,Pending
4/1/2024,Gift Card,2685.44,Others,Pending
5/29/2023,Gift Card,1601.82,Others,Pending
5/22/2023,Target,2271.06,Shopping,Pending
6/6/2024,Touchstone Climbing,1075.12,Fitness & Sports,Posted
7/2/2024,Bank Fee,1778.83,Banking & Fees,Posted
6/30/2024,Verizon,319.85,Bills & Utilities,Pending
2/29/2024,eBay,1324,Shopping,Posted
5/15/2024,Burger King,1673.17,Food & Drinks,Pending
7/3/2024,Spotify,1560.23,Subscriptions,Posted
10/30/2023,Hulu,1935.33,Subscriptions,Posted
4/19/2024,Loan Repayment,2575.32,Insurance & Financial,Pending
6/26/2024,Domino's Pizza,2999.87,Food & Drinks,Posted
11/7/2023,Burger King,2675.83,Food & Drinks,Pending
4/28/2023,Tectra Inc,927.58,Business Services,Posted
7/1/2024,PG&E,1719.1,Bills & Utilities,Pending
5/28/2023,Touchstone Climbing,1653.64,Fitness & Sports,Posted
12/28/2023,Chipotle,132.7,Food & Drinks,Pending
9/17/2023,Starbucks,1818.57,Food & Drinks,Posted
12/20/2023,KFC,762.73,Food & Drinks,Pending
5/31/2023,Donation,738.57,Others,Pending
2/6/2024,Amazon,2749.46,Shopping,Posted
7/27/2024,Tectra Inc,2322.36,Business Services,Posted
4/18/2024,Disney+,1581.47,Subscriptions,Pending
12/2/2023,PayPal,1863.08,Others,Posted
5/1/2024,Donation,1801.79,Others,Posted
1/13/2024,Nike Training,2615.05,Fitness & Sports,Pending
7/3/2024,Chipotle,1363.34,Food & Drinks,Pending
8/6/2023,Mortgage Payment,-2307.5,Insurance & Financial,Posted
5/4/2023,eBay,-2693.86,Shopping,Pending
4/26/2024,Costco,1578.13,Shopping,Posted
8/5/2024,Electricity Bill,2270.27,Bills & Utilities,Posted
12/31/2023,Home Depot,-2713.05,Bills & Utilities,Pending
11/21/2023,Rent Payment,42.99,Bills & Utilities,Pending
2/10/2023,Starbucks,728.75,Food & Drinks,Posted
3/20/2023,Water Bill,839.6,Bills & Utilities,Pending
3/6/2023,Automatic Payment,1993.49,Business Services,Posted
7/10/2023,Lyft,2245.83,Travel,Pending
5/19/2024,Madison Bicycle Shop,2647.26,Business Services,Pending
7/1/2024,Best Buy,2038.57,Shopping,Pending
5/31/2023,Apple Music,1177.64,Subscriptions,Posted
7/22/2023,Office Depot,125.05,Business Services,Posted
7/13/2023,Gift Card,56.72,Others,Pending
7/24/2024,Loan Repayment,1467.08,Insurance & Financial,Pending
8/26/2023,IKEA,1764.78,Shopping,Posted
4/8/2024,Madison Bicycle Shop,2326.62,Business Services,Posted
1/10/2024,PayPal,1838.37,Others,Posted
4/23/2023,Venmo,897.91,Others,Posted
7/5/2023,Best Buy,1958.51,Shopping,Pending
8/3/2023,Loan Repayment,-2222.44,Insurance & Financial,Posted
4/17/2023,Netflix,2245.93,Subscriptions,Posted
2/18/2024,Marriott Hotels,1843.41,Travel,Pending
10/22/2023,Car Insurance,2580.39,Insurance & Financial,Posted
11/29/2023,Gym Membership,109.84,Fitness & Sports,Posted
12/9/2023,KFC,1449.2,Food & Drinks,Posted
12/10/2023,ATM Withdrawal,1942.58,Banking & Fees,Pending
2/24/2023,Health Insurance,445.94,Insurance & Financial,Pending
10/1/2023,Automatic Payment,-2025.23,Business Services,Posted
8/25/2023,Target,593.78,Shopping,Pending
5/13/2024,Delta Airlines,2696.41,Travel,Pending
6/27/2023,Apple Music,597.77,Subscriptions,Posted
4/19/2024,ATM Withdrawal,1901.75,Banking & Fees,Posted
2/11/2023,Miscellaneous Expense,2410.25,Others,Posted
3/6/2024,Office Depot,1473.27,Business Services,Pending
11/6/2023,Spotify,570.81,Subscriptions,Pending
1/14/2023,Tectra Inc,-1645.93,Business Services,Pending
7/15/2023,Health Insurance,2886.3,Insurance & Financial,Pending
6/11/2023,Bank Fee,2179.38,Banking & Fees,Posted
11/11/2023,Venmo,1653.98,Others,Pending
5/8/2024,McDonald's,2595.32,Food & Drinks,Pending
11/17/2023,Mortgage Payment,-1112.34,Insurance & Financial,Posted
7/14/2023,Planet Fitness,1824.57,Fitness & Sports,Posted
9/2/2023,Costco,814.32,Shopping,Posted
3/30/2024,PayPal,2137.82,Others,Posted
11/27/2023,LA Fitness,109.45,Fitness & Sports,Pending
5/18/2023,Madison Bicycle Shop,1333.29,Business Services,Pending
1/17/2023,Health Insurance,714.69,Insurance & Financial,Posted
8/21/2024,Gym Membership,2244.09,Fitness & Sports,Posted
1/19/2023,Touchstone Climbing,1203.62,Fitness & Sports,Posted
3/27/2023,Target,384.51,Shopping,Posted
10/1/2023,PG&E,931.49,Bills & Utilities,Pending
10/22/2023,Starbucks,2658.32,Food & Drinks,Pending
11/2/2023,Costco,2492.91,Shopping,Posted
4/22/2024,Miscellaneous Expense,2984.33,Others,Posted
1/28/2024,PayPal,334.8,Others,Pending
11/1/2023,Bank Fee,1612.57,Banking & Fees,Pending
11/27/2023,Gift Card,1301.5,Others,Pending
5/25/2024,Donation,765.47,Others,Posted
12/9/2023,Hulu,-1224.94,Subscriptions,Posted
8/13/2024,Madison Bicycle Shop,1068.65,Business Services,Pending
12/26/2023,LA Fitness,2269.08,Fitness & Sports,Pending
8/11/2023,YouTube Premium,1018.18,Subscriptions,Pending
10/20/2023,Touchstone Climbing,1368.68,Fitness & Sports,Posted
8/30/2023,Domino's Pizza,1053.45,Food & Drinks,Pending
3/9/2024,Loan Repayment,2251.93,Insurance & Financial,Posted
7/18/2024,Bank Fee,1484.27,Banking & Fees,Pending
5/14/2023,Office Depot,1091.56,Business Services,Posted
12/7/2023,Marriott Hotels,2255.86,Travel,Posted
10/30/2023,Rent Payment,1751.99,Bills & Utilities,Posted
2/25/2024,Touchstone Climbing,2586.36,Fitness & Sports,Pending
1/23/2024,United Airlines,435.57,Travel,Posted
4/28/2023,Wire Transfer,429.3,Banking & Fees,Posted
3/10/2024,ATM Withdrawal,1393.51,Banking & Fees,Posted
5/10/2023,Bank Fee,2137.77,Banking & Fees,Posted
3/19/2023,Car Insurance,279.61,Insurance & Financial,Posted
5/2/2023,Electricity Bill,1645.96,Bills & Utilities,Posted
5/15/2023,Marriott Hotels,936.31,Travel,Pending
9/28/2023,Mortgage Payment,2416.67,Insurance & Financial,Pending
5/28/2024,PayPal,2219.9,Others,Posted
7/4/2024,Touchstone Climbing,-1092.59,Fitness & Sports,Posted
6/19/2023,Apple Music,175.98,Subscriptions,Pending
2/22/2024,McDonald's,381.17,Food & Drinks,Pending
9/8/2023,Tectra Inc,2847.05,Business Services,Pending
11/28/2023,Loan Repayment,1632.22,Insurance & Financial,Posted
2/23/2024,Water Bill,1421.56,Bills & Utilities,Pending
3/22/2023,Loan Repayment,2785.37,Insurance & Financial,Pending
2/18/2023,Touchstone Climbing,2133.07,Fitness & Sports,Posted
7/12/2023,Gym Membership,-2995.5,Fitness & Sports,Pending
7/18/2023,Uber,2599.31,Travel,Posted
4/7/2023,PayPal,2463.59,Others,Pending
8/29/2023,Netflix,-1996.22,Subscriptions,Pending
11/28/2023,Office Depot,438.83,Business Services,Posted
10/30/2023,Burger King,2614.82,Food & Drinks,Posted
9/2/2023,Venmo,2284,Others,Posted
2/21/2023,Miscellaneous Expense,1779.81,Others,Pending
7/13/2023,PayPal,260.31,Others,Posted
3/23/2023,Gym Membership,1732.25,Fitness & Sports,Pending
8/23/2024,Subway,795.34,Food & Drinks,Pending
4/1/2024,Home Depot,96.44,Bills & Utilities,Pending
5/3/2023,Verizon,846.89,Bills & Utilities,Posted
7/3/2023,Miscellaneous Expense,966.99,Others,Posted
2/1/2024,Delta Airlines,460.51,Travel,Pending
6/5/2023,Domino's Pizza,550.88,Food & Drinks,Posted
4/13/2023,Mortgage Payment,2601.6,Insurance & Financial,Pending
6/20/2024,Gym Membership,1347.07,Fitness & Sports,Pending
7/25/2023,Loan Repayment,1539.18,Insurance & Financial,Pending
1/31/2024,Burger King,2477.97,Food & Drinks,Pending
9/4/2023,Touchstone Climbing,834.6,Fitness & Sports,Pending
11/24/2023,Gift Card,2284.88,Others,Pending
3/22/2023,YouTube Premium,291.95,Subscriptions,Posted
4/3/2024,Apple Music,2816.68,Subscriptions,Pending
11/13/2023,IKEA,-711.8,Shopping,Pending
5/30/2024,Domino's Pizza,1714.83,Food & Drinks,Pending
8/14/2023,Domino's Pizza,546.64,Food & Drinks,Pending
4/8/2023,Amazon,1182.19,Shopping,Pending
4/17/2024,McDonald's,1203.77,Food & Drinks,Pending
4/14/2023,ATM Withdrawal,2520.65,Banking & Fees,Posted
4/18/2024,Health Insurance,1173.36,Insurance & Financial,Pending
10/13/2023,IKEA,1383.56,Shopping,Posted
5/21/2024,Spotify,2596.74,Subscriptions,Pending
1/11/2023,Airbnb,1407.82,Travel,Posted
12/26/2023,Bank Fee,2328.06,Banking & Fees,Pending
6/17/2024,Staples,2073.09,Business Services,Posted
12/19/2023,Gift Card,1703.48,Others,Pending
6/24/2023,Electricity Bill,2377.55,Bills & Utilities,Pending
3/1/2024,Loan Repayment,2113.43,Insurance & Financial,Pending
5/8/2023,Donation,119.83,Others,Pending
9/8/2023,Expedia,805.76,Travel,Pending
1/11/2024,Touchstone Climbing,1536.62,Fitness & Sports,Pending
6/12/2023,Gift Card,1351.82,Others,Posted
10/19/2023,Netflix,2749.33,Subscriptions,Posted
5/24/2023,Gym Membership,304.53,Fitness & Sports,Pending
7/6/2024,Car Insurance,2958.42,Insurance & Financial,Posted
8/6/2024,LA Fitness,581,Fitness & Sports,Posted
5/11/2023,IKEA,458.65,Shopping,Pending
6/22/2024,Health Insurance,2225.69,Insurance & Financial,Posted
7/19/2024,IKEA,1524.28,Shopping,Posted
8/12/2023,Office Depot,932.26,Business Services,Posted
6/25/2023,KFC,1930.11,Food & Drinks,Posted
8/9/2024,Amazon Prime,692.15,Subscriptions,Pending
5/28/2023,Chipotle,154.36,Food & Drinks,Posted
3/15/2023,Amazon Prime,913.47,Subscriptions,Pending
2/13/2023,Amazon Prime,794.51,Subscriptions,Posted
11/8/2023,Target,322.67,Shopping,Pending
3/13/2023,Home Depot,2733.01,Bills & Utilities,Pending
2/18/2024,Subway,920.83,Food & Drinks,Pending
2/9/2023,Target,2498.63,Shopping,Posted
12/11/2023,Verizon,413.89,Bills & Utilities,Pending
5/10/2023,IKEA,284.93,Shopping,Pending
4/26/2023,Planet Fitness,1732.43,Fitness & Sports,Pending
2/3/2024,Target,529.3,Shopping,Posted
1/2/2023,Burger King,2491.29,Food & Drinks,Posted
3/15/2024,Overdraft Fee,1735.57,Banking & Fees,Posted
8/2/2024,Chipotle,1988.76,Food & Drinks,Posted
8/9/2024,PG&E,-417.47,Bills & Utilities,Posted
2/5/2024,Office Depot,128.09,Business Services,Posted
7/24/2024,ATM Withdrawal,268.23,Banking & Fees,Posted
3/9/2023,Disney+,1219.97,Subscriptions,Pending
2/15/2024,CREDIT CARD PAYMENT,2274.95,Banking & Fees,Pending
6/17/2023,CREDIT CARD PAYMENT,1238.57,Banking & Fees,Pending
7/11/2023,Planet Fitness,2607.81,Fitness & Sports,Pending
12/21/2023,Chipotle,1110.35,Food & Drinks,Posted
1/15/2023,Bank Fee,930.04,Banking & Fees,Pending
3/21/2024,Airbnb,2684.76,Travel,Posted
5/4/2023,Marriott Hotels,264.73,Travel,Posted
7/10/2023,McDonald's,-918,Food & Drinks,Pending
1/23/2023,McDonald's,1113.09,Food & Drinks,Posted
6/28/2023,Health Insurance,2221.79,Insurance & Financial,Posted
12/26/2023,Rent Payment,2114.31,Bills & Utilities,Pending
10/19/2023,Chipotle,-2985.99,Food & Drinks,Pending
11/4/2023,Amazon,784.65,Shopping,Pending
5/27/2023,Venmo,1290.33,Others,Pending
8/2/2023,Starbucks,2511.02,Food & Drinks,Pending
8/25/2023,Apple Music,2924.5,Subscriptions,Posted
4/6/2023,Nike Training,1985.36,Fitness & Sports,Posted
10/7/2023,Wire Transfer,2138.48,Banking & Fees,Pending
11/29/2023,Apple Music,1565.07,Subscriptions,Pending
7/1/2023,Electricity Bill,2640.24,Bills & Utilities,Posted
12/19/2023,Bank Fee,1631.8,Banking & Fees,Posted
10/25/2023,Office Depot,1513.31,Business Services,Posted
3/11/2023,IKEA,-1270.65,Shopping,Posted
2/28/2024,Staples,2837.59,Business Services,Posted
6/4/2023,PayPal,2324.16,Others,Pending
8/15/2023,Home Depot,171.32,Bills & Utilities,Posted
1/15/2024,Spotify,-774.69,Subscriptions,Posted
5/22/2024,Overdraft Fee,213.13,Banking & Fees,Pending
12/25/2023,ATM Withdrawal,1059.97,Banking & Fees,Posted
1/21/2024,Mortgage Payment,446.23,Insurance & Financial,Pending
10/22/2023,Loan Repayment,590.19,Insurance & Financial,Pending
6/9/2023,Chipotle,2843.37,Food & Drinks,Posted
7/2/2024,Comcast,1427.4,Bills & Utilities,Pending
7/26/2023,Uber,1820.84,Travel,Pending
1/23/2024,Donation,-1990.5,Others,Pending
2/3/2024,KFC,1279.11,Food & Drinks,Posted
4/10/2023,PG&E,1340.82,Bills & Utilities,Posted
6/6/2023,Electricity Bill,2412.2,Bills & Utilities,Pending
10/14/2023,eBay,2099.54,Shopping,Posted
7/2/2023,Planet Fitness,1059.05,Fitness & Sports,Pending
6/1/2024,Health Insurance,1267.5,Insurance & Financial,Posted
6/30/2024,Spotify,474.44,Subscriptions,Posted
9/25/2023,Comcast,188.52,Bills & Utilities,Posted
1/1/2024,YouTube Premium,540.26,Subscriptions,Pending
1/12/2024,Venmo,2445.84,Others,Posted
7/27/2024,Office Depot,2107.32,Business Services,Pending
1/12/2024,Office Depot,2244.16,Business Services,Posted
5/8/2024,Tectra Inc,2534.04,Business Services,Pending
4/2/2023,Nike Training,-1830.2,Fitness & Sports,Pending
1/23/2024,Starbucks,878.78,Food & Drinks,Pending
7/21/2024,Miscellaneous Expense,325.22,Others,Posted
2/22/2024,Marriott Hotels,1618.06,Travel,Pending
1/8/2023,Lyft,2522.4,Travel,Pending
12/14/2023,IKEA,2626.47,Shopping,Pending
5/28/2024,Burger King,1628.74,Food & Drinks,Posted
11/7/2023,Health Insurance,605.43,Insurance & Financial,Posted
8/28/2023,Uber,628.93,Travel,Pending
8/16/2024,Gym Membership,645.41,Fitness & Sports,Posted
1/14/2023,Planet Fitness,2458.9,Fitness & Sports,Pending
5/28/2024,Subway,1913.03,Food & Drinks,Posted
5/7/2024,Automatic Payment,1260.79,Business Services,Posted
6/17/2024,United Airlines,2676.82,Travel,Posted
2/27/2023,ATM Withdrawal,2795.52,Banking & Fees,Pending
6/1/2024,Amazon,-443.5,Shopping,Pending
7/9/2023,KFC,329.09,Food & Drinks,Pending
1/12/2024,Staples,1289.22,Business Services,Posted
7/17/2024,LA Fitness,2390.41,Fitness & Sports,Pending
7/21/2023,Apple Music,2022.42,Subscriptions,Pending
6/30/2024,Car Insurance,2189.73,Insurance & Financial,Posted
6/2/2023,PayPal,2803.53,Others,Pending
5/30/2023,CREDIT CARD PAYMENT,1066.47,Banking & Fees,Pending
3/31/2024,CREDIT CARD PAYMENT,-2616.67,Banking & Fees,Pending
12/13/2023,ATM Withdrawal,1694.3,Banking & Fees,Posted
12/27/2023,Car Insurance,1483.04,Insurance & Financial,Pending
6/19/2024,Office Depot,1093.82,Business Services,Pending
12/4/2023,Starbucks,1337.38,Food & Drinks,Pending
12/15/2023,Miscellaneous Expense,52.9,Others,Pending
8/20/2023,Planet Fitness,2591.04,Fitness & Sports,Posted
7/8/2024,ATM Withdrawal,1839.39,Banking & Fees,Posted
7/26/2024,Expedia,2063.13,Travel,Posted
11/9/2023,Disney+,2961.52,Subscriptions,Pending
11/26/2023,Comcast,-1958.87,Bills & Utilities,Pending
3/23/2023,IKEA,1440.84,Shopping,Pending
7/19/2024,Tectra Inc,1162.69,Business Services,Pending
10/16/2023,Loan Repayment,2596.7,Insurance & Financial,Pending
2/13/2023,Home Depot,858.86,Bills & Utilities,Pending
1/31/2023,Spotify,512.78,Subscriptions,Posted
8/25/2023,Walmart,64.04,Shopping,Pending
5/31/2024,Home Depot,43.49,Bills & Utilities,Posted
9/29/2023,Miscellaneous Expense,855.18,Others,Pending
7/27/2023,Tectra Inc,290.86,Business Services,Pending
5/22/2024,Loan Repayment,2302.73,Insurance & Financial,Posted
2/24/2023,Madison Bicycle Shop,1403.48,Business Services,Posted
2/1/2023,Verizon,2955.35,Bills & Utilities,Pending
7/29/2023,Subway,762.21,Food & Drinks,Posted
1/20/2024,Loan Repayment,1097.74,Insurance & Financial,Pending
4/22/2023,Amazon,2458.52,Shopping,Pending
7/31/2024,Loan Repayment,1198.1,Insurance & Financial,Pending
10/6/2023,Office Depot,838.18,Business Services,Posted
6/10/2023,Venmo,749.04,Others,Pending
4/23/2023,Gift Card,2222.96,Others,Posted
8/14/2024,Domino's Pizza,1388.66,Food & Drinks,Posted
7/9/2023,Health Insurance,1663.96,Insurance & Financial,Pending
5/7/2023,Madison Bicycle Shop,701.23,Business Services,Posted
6/1/2023,Planet Fitness,195.25,Fitness & Sports,Pending
5/26/2024,Verizon,603.73,Bills & Utilities,Pending
